company,total_complaints
"All the conditional credits there were provided totaling = {$23000.00} are now being reversed and they are closing the disputes in favor of the contractor.\"",1
USPS Certified Tracking # XXXX ( delivered on XX/XX/2023 ) XX/XX/2023 : XXXX Notice I resent the copy of the endorsed bill to XXXX XXXX XXXX located at : XXXX XXXX XXXX XXXX,1
On this call,1
Despite the many unequivocal assurances,1
Its Clear to me Citibank doesn't want to pursue its money under the Terms of VISA and the FAIR CREDIT BILLING ACT,1
Feel free to contact me through one of the following : E-Mail : XXXX Phone : ( XXXX ) XXXX XXXX Sincerely,1
If you look at this account,1
PenFed chose to use their code sharing relationship with XXXX XXXX to book with XXXX XXXX XXXX XXXX. In addition to the points,1
Before ordered,1
On XX/XX/XXXX I called again because I had heard nothing. They told me they couldn't find proof of it so they closed the investigation. I asked why had nothing been sent to me via either mail or the online message center about it,1
I called and first spoke with a representative who identified herself as a supervisor ( I did not ask for a supervisor,1
Immediately upon discovering this discrepancy,1
One moment please You,1
I have been a loyal customer of your company for a few years,1
Wells Fargo needs to be very clear,1
"In addition XXXX  promises to have things there two days or less a majority of the time that was not true so that is why XXXX did not suit me I was still waiting hence the fact that I canceled it and it wasn't until me noticing my interest charge fees even after making a double payment we're still accruing and I noticed that charge from Amazon XXXX on my Chase Amazon card I have since removed all of my cards and canceled it once again for everyone in my household once again I'm expecting all of my months refunded as well as the interest charges and fees to be waived that is the least that can happen for taking advantage of a client and using legal loopholes to do such\"",1
I would also like to request,1
"All Natural Inalienable Rights Reserved\"",1
I did receive an email as requested with my VENTURE CC terms and conditions,1
"Below is a list of the unauthorized transactions that were made to the two capital one Cards : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX\"",1
"I told the agent the transactions from XXXX were fraudulent yet Im still being charged for them.\"",1
OPORTUN FINANCIAL CORPORATION,1
I am concerned because this type of thing is hard to navigate for XXXX  people. Having these types of policies,1
"The case number is Wells Fargo case number : XXXX. The bank can not give me a good answer as to why this occurred. The bank also did not notify me when my credit limit was exceeded or that the autopay would not fire. I am simply reporting as I am worried there is a systemic banking error in their code as other issues have occurred with this bank in the news.\"",1
"Thank you XXXX XXXX PS I dont have these problems with XXXX\"",1
I cancelled the Discover card used in this transaction after this incident because I did not trust that it would not be subject to additional fraudulent activity,1
"Account number XXXX XXXX XXXX XXXX\"",1
Barclays actions violate the Equal Credit Opportunity Act ( 15 U.S.C. section 1691 ( d ) ),1
XX/XX/2023 Tuesday,1
"Reference XXXX XXXX  XXXX SUBMITTED ON XX/XX/2023 PRODUCT Credit card ISSUE Closing your account XXXX. XXXX XXXX XXXX XXXX XXXX Capital One XXXX. XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Capital One XXXX. XXXX XXXX XXXX XXXX Capital One XXXX XXXX XXXX. XXXX XXXX XXXX XXXX Spark Business Capital One\"",1
I am just now receiving a statement and aside from the phone calls,1
( b ) If tender of payment of an obligation to pay an instrument is made to a person entitled to enforce the instrument and the tender is refused,1
"I believe that Navy Federal Credit Union 's actions violate the principles of the ECOA and raise questions about their commitment to equal credit access. I request that the Consumer Financial Protection Bureau investigate this matter and ensure that Navy Federal Credit Union provides a valid and non-discriminatory reason for the closure of my credit card account. I also request that any necessary corrective actions be taken to rectify this situation and prevent such occurrences in the future.\"",1
"It was not.\"",1
4. LackofSignatureVerification : ItisessentialtonotethatIwasneither requested to sign any document nor did I sign anything during this transaction. The forged signature on the fabricated receipt you provided to me by the catering company does not match my actual signature,1
The previous UNANSWERED complaint reads as follows : XXXX,1
"I am seeking resolution and fair compensation for the fraudulent charges and the damages to my credit caused by Discover 's handling of my case.\"",1
"WHY am I being penalized with this inability to get a replacement credit card when all I've done is be a good customer?????\"",1
( a ) A person entitled to enforce an instrument,1
I am quite miffed over this for several reasons. 1. ) I have used Affirm numerous times before and have paid off several thousand dollars over the last few years with zero issues. 2. ) In the app,1
"15USC 1666B : A creditor may not treat a payment on a credit card account under any open-end consumer credit plan as late for on purpose.\"",1
XX/XX/2023 found no allocation to pay off in my account,1
XXXX XXXX XXXX for 28 minutes I spoke with XXXX XXXX. I stated the above information and requested an update since XXXX did not reach out to me. She read me the response from the back office stating they will not reverse the charges or change the offer selection. I asked what evidence they had that resulted in their decision. I again repeated that I was not provided with any documentation to utilize as proof of what offer I selected,1
"I can't login to my account because I need a non expired credit card to do that. They won't unlock my account or send me a card because allegedly they can't authenticate me and there's no branch near me to too. I did request a credit report so I can correct any issues that might be in there as well. This should have been standard practice to mention.\"",1
"Kriya Capital, LLC",1
TO ALL PARTIES AND THEIR ATTORNEYS OF RECORD : PLEASE TAKE NOTICE THE DEFENDANT XXXX XXXX XXXX. al,1
When COVID -19 impacted the world the credit card company raised the monthly payments. We could no longer make the payments for a product we did not receive. In reading the documents later I found out if I miss a payment for renewal,1
Sent all the info certified mail to Goldman Sachs and have not heard anything back from them. I have talked to numerous Apple Pay support employees to no avail and they would transfer me to an Apple Support person at Goldman Sachs. The charges have been disputed several times and they want me to pay {$600.00}. All charges that were done by XXXX XXXX in the month of XXXX and her assuring me these were all great. I have not used the Apple Pay card since. The certified mail with copies of everything were sent to Goldman Sachs and signed for by XXXX XXXX. I am enclosing a text message from XXXX when I lost the connection XXXX XXXX XXXX. XXXX has reversed charges and closed account. XXXX said there wasn't anything they could do because the XXXX gift cards were already sent to No first or last name to XXXX XXXX XXXX,1
"No response. I later asked if they can give me a history of all the documents I uploaded to them ( I am not able to access ) and they said they could not.\"",1
On XX/XX/23 Chase uploaded a document to my account which stated that Chase believes the charge is valid,1
( b ) The Secretary of the Treasury shall pay interest due or accrued on the public debt. As the Secretary considers expedient,1
The bank relies on the fact that this information is taken from my credit history by the XXXX XXXX,1
The credits of the payment was supposed to be processed,1
But then I received a phone call from Comenity saying I was late on another payment for XX/XX/2023. Again,1
The transactions were sent to three different XXXX accounts,1
"Please help me find resolution to this issue.\"",1
After contacting XXXX,1
"Absolutely disgusting company.\"",1
This disputed charge was for a one-person reservation for a vacation that I made initially before modifying it. That reservation was replaced two days later on XX/XX/XXXX   with a two person reservation ( the previous person and a significant other ). The itinerary,1
5. SwiftReportingtoCapitalOne : UponreceivingthefraudalertfromCapital One,1
6. InexplicableResponsefromCapitalOne : However,1
When I got that lightbulb moment,1
XXXX. TaxiDriver'sDeceptiveActions : Thetaxicabweencounteredstatedthatonly credit cards were accepted and would accept NO CASH which we didnt initially think was a problem. But clearly,1
The Equal Credit Opportunity Act clearly prohibits lenders from discriminating against applicants based on their race,1
"I've also included a copy of a photo of a sign the property management company hung in the lobby of my apartment building because someone broke in and stole a bunch of packages from people. I would be happy to provide Chase with a copy of the police report number once a representative from Chase reaches out to me.\"",1
"XX/XX/XXXX XXXX the account had not been resolved according to my credit report. I followed up with Goldman sachs and was told they could not help me and that I needed to contact Identitytheft.gov Shortly thereafter ( within a week or so-date unknown ) - I filed the report with identitytheft.gov to try to resolve the issue XX/XX/XXXX XXXX I emailed all information to XXXX ( Goldman sachs XXXX XXXX ) and received no response Early-mid XXXX I printed filled out and mailed the dispute letter per recommendation from identitytheft.gov to Goldman sachs They have been unresponsive and unhelpful. I need this issue resolved as soon as possible.\"",1
The limit requested was {$3000.00} this should be on a recorded line in addition to my call for the purchase. The transaction total was {$3000.00},1
The item says it was delivered on XX/XX/23,1
After applying my {$300.00} security deposit,1
XXXXXXXX XXXX XXXXXXXX states that since they couldn't find the delivery confirmation for one set of flowers,1
On XX/XX/2023 XXXX XXXX attempted to use his card and was told that it is declined. To much chagrin,1
The stipulation to receive the XXXX bonus points was that I must spend {$3000.00} or more within six month,1
As soon as I listened to the message,1
Then again on XX/XX/2023,1
"Thank you for your immediate attention to this matter\"",1
